id,title,original_title,imdb_id,release_date,runtime,budget,revenue,overview,tagline,homepage,poster_path,backdrop_path
50,I'm Not Ashamed,I'm Not Ashamed,tt4950110,2016-10-21,113,1500000,2100000,"Based on the inspiring and powerful true story and journal entries of Rachel Joy Scott, the first student killed in the Columbine High School shooting in 1999.",Her faith would touch the world.,http://imnotashamedfilm.com/,/P4bxuNq5XT0Wc3MYpoLP52e0P6.jpg,/rsdFvneLY76JGXQ1rYovyeUtqyc.jpg
51,Sherlock Holmes,Sherlock Holmes,tt0988045,2009-12-23,129,90000000,524028679,Eccentric consulting detective Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.,Nothing escapes him.,https://www.warnerbros.com/movies/sherlock-holmes/,/momkKuWburNTqKBF6ez7rvhYVhE.jpg,/veXdzn7LL0bFIDGmE7tTkvRg0qV.jpg
52,One for the Money,One for the Money,tt1598828,2012-01-26,91,40000000,36893721,"An unemployed lingerie buyer convinces her bail bondsman cousin to give her a shot as a bounty hunter. Her first assignment is to track down a former cop on the run for murder – the same man who broke her heart years before. With the help of some friends and the best bounty hunter in the business, she slowly learns what it takes to be a true bounty hunter.",She's looking for a few not-so-good men,http://www.oneforthemoneyfilm.com/index2.html,/eeltLl5jLUl9d96tpKkCAWu4JWu.jpg,/5AOV7ga7jvkIhmJalE4rmEf833X.jpg
53,Trigger: The Ripple Effect of Gun Violence,Trigger: The Ripple Effect of Gun Violence,tt5136068,2013-05-03,55,0,0,"Documentary that frames gun violence as a Disaster and Public Health issue by taking an in depth look at how one shooting impacts individuals, families and communities, while also giving voice to the questions and insights that arise from these conversations. In the documentary, all those scarred by gun violence eventually arrived at the same question: ""Why...Why did this happen to us?"" After looking at these in depth experiences of gun violence ""Trigger turns its attention to the bigger question: ""What can we do to prevent gun violence?""","n the United States more than 30,000 people are killed every year by gun violence and more than 100,000 are wounded.",https://pda.pcusa.org/pda/resource/dvd-trigger/,/2c2MuK6nxI81A87eSMpCRojTR5X.jpg,/x57eDjByABP4ccLaTGeZYeiEpAi.jpg
54,Basketball County: In the Water,Basketball County: In the Water,tt7333982,2020-05-15,51,0,0,"This documentary film examines how NBA star Kevin Durant’s hometown of Prince George’s County, Maryland, has recently produced more elite basketball players than anywhere else in the world.",Where greatness lives.,https://www.sho.com/titles/3492196/basketball-county-in-the-water,/gWm78LvURmB567ooZLIsy0L9WB8.jpg,/5G4mYJ6AtPvmVy3E3N43dcjCixi.jpg
55,Dan in Real Life,Dan in Real Life,tt0480242,2007-10-26,98,25000000,68474305,"Advice columnist, Dan Burns is an expert on relationships, but somehow struggles to succeed as a brother, a son and a single parent to three precocious daughters. Things get even more complicated when Dan finds out that the woman he falls in love with is actually his brother's new girlfriend.",Something's happening to Dan. It's confusing. It's awkward. It's family.,http://daninreallife.movies.go.com/,/wJkkkG4ditqNzlua0oJzoaICGiz.jpg,/uAa5bEEQvLxAqbKcOk9rGPLkZrJ.jpg
56,What is a Woman?,What is a Woman?,tt20256528,2022-06-01,95,0,0,"Political commentator Matt Walsh explores the changing concepts of sex and gender in the digital age, particularly the transgender rights movement, transphobia, and what it means to be a woman.",One man's journey to answer the question of a generation,https://whatisawoman.com,/iiP8Sq7yWoYsKx9EVfyRPno8Un9.jpg,/aJHH604xVvLPHH6fMbQV6iV5aOY.jpg
57,Piranha 3DD,Piranha 3DD,tt1714203,2012-05-11,83,5000000,8493728,"After the events at Lake Victoria, the prehistoric school of blood-thirsty piranhas make their way into swimming pools, plumbing, and a newly opened water park.",Twice the Teeth. Twice the Terror.,http://piranha-3d.com/,/mv2Ej9WPVWivNvtMTTxgb07c7N9.jpg,/bVVUstdTawtCF2RkB9awLNxPLXk.jpg
58,Bloodsucking Freaks,Bloodsucking Freaks,tt0077247,1976-11-03,85,0,0,"Sardu, master of the Theatre of the Macabre, and his assistant Ralphus run a show in which, under the guise of 'magic', they torture and murder people in front of their audience. But what the punters see as a trick is actually real.","Join The Fun! Human Dart Boards! ""Home Style Brain Surgery"" Dental Hijinks!",http://www.troma.com/films/bloodsucking-freaks/,/sRFWfces1Aa2yPRzDt4NVuYrysQ.jpg,/1BNv6MqZw5wFoblckm4fydIbmoR.jpg
59,Concrete Pharaohs,Бетонни фараони,tt1806810,2010-05-06,47,0,0,"Welcome to the picturesque world of the Kaldarash Roma – a closed community of no more than 1 million people all over the world. 'Concrete Pharaohs' take us on a journey into the lifestyle and traditions of the most hidden and intriguing Roma communities. A charismatic Gypsy baron will walk us through his stories and his new house. We will learn the hot trends in Roma tombstone design. We will go down into the underground homes of African granite, furnished with beds, wardrobes, stereos and a charged cell phone – a direct line to the other world. A celebration of life and afterlife in all of their manifestations.",The Life and Afterlifestyle of Kaldarash Gypsies,http://www.hbo.bg/movie/%D0%91%D0%B5%D1%82%D0%BE%D0%BD%D0%BD%D0%B8-%D1%84%D0%B0%D1%80%D0%B0%D0%BE%D0%BD%D0%B8_-69084,/uHSA2U5NbRPqGoU9Xi6Z5TnjZ5d.jpg,/hq58EUpL6VhCTS6IPDyRAlFJ1oR.jpg
60,Step Up All In,Step Up All In,tt2626350,2014-07-16,112,45000000,86165646,"All-stars from the previous Step Up installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers.",Every Step Has Led To This,http://stepupmovie.com/,/bM9U2WDQKeQhdQX4kwdk72Drpaz.jpg,/cFgHrvRjoRHOrtolzrJov7v4s54.jpg
61,While She Was Out,While She Was Out,tt0887971,2008-10-27,86,6000000,498088,A suburban housewife is forced to fend for herself when she becomes stranded in a desolate forest with four murderous thugs.,They Messed With the Wrong Woman on the Wrong Night,http://www.insightfilm.com/wswo.html,/ehhJzxVV566RxPKmotY4E6xU477.jpg,/d8twGjhgFmsapoUpY4K6WoieobH.jpg
62,The Mercy,The Mercy,tt3319730,2018-02-09,102,18000000,4536348,"In 1968, Donald Crowhurst, an amateur sailor, endangers the fate of his family and business, and his own life, blinded by his ambition to compete in the Sunday Times Golden Globe Race, attempting to become the first person in history to single-handedly circumnavigate the world without making any stopover.",Based on the true story,http://www.themercyfilm.co.uk/home/,/51qWwl16Mb0hqorgffCtyENwTPP.jpg,/acKU4LlCFgcbjsL2IjtD4mPzlq7.jpg
63,The Big Empty,The Big Empty,tt0321442,2003-05-16,94,0,0,"Struggling actor John Person agrees to drive a blue suitcase from Los Angeles to the small town of Baker, Calif., and hand it over to a mysterious cowboy in return for having his credit card debt of $27,000 paid off. Upon his arrival, John can't find the cowboy but receives an ominously head-shaped package he's supposed to hang onto. While waiting, John gets close to Ruthie, whose psychotic boyfriend, Randy, keeps threatening to kill him.",Cowboys. Aliens. Blue suitcases and bowling balls. Strange things are happening out in the middle of nowhere.,http://www.thebigempty.com/,/8lYFJ0LKdhayjfYnX0b1yIvkUx4.jpg,/xlrEHww5wabNRMBOyxhLMNekPij.jpg
64,Sebastian,Sebastian,tt6087058,2017-05-26,80,50000,0,"Alex is an Argentinian student in Toronto for just one week. They both know that the relationship ends when he catches his flight back home. But they’re falling for each other and it’s the kind of relationship that changes them, unlocks things hidden deep inside.",Who can resist a boy with a dark and unspoken past?,http://www.sebastianthemovie.com,/pyxFMkZJwXiykKHdkupjMBPJ9qd.jpg,/u1vAvsUWM7ABtkqGAlccNaoPP5L.jpg
65,Wilde,Wilde,tt0120514,1997-09-01,118,2158775,10000000,"The story of Oscar Wilde, genius, poet, playwright and the First Modern Man. The self-realisation of his homosexuality caused Wilde enormous torment as he juggled marriage, fatherhood and responsibility with his obsessive love for Lord Alfred Douglas.",Loved for being unique. Hated for being different.,http://www.oscarwilde.com/,/41mm9zN1j6oE4vK7sDjxRqbEAgV.jpg,/8WquHvFVBq9jtfRUUOzMVJBzNW4.jpg
66,The Museum Project,The Museum Project,tt5251524,2016-05-01,45,0,0,"A group of students decide to base their media assignment on a local railway museum myth. However, when they trespass the premises after hours, they soon learn that some myths are more than stories.",Some myths are more than stories.,http://www.museumprojectmovie.com/,/vzaznRV5LFyhEQKR0oHF8zyaqCm.jpg,/yutjXtgsdB8ojVXgXxeZlVd5QNT.jpg
67,Nailbiter,Nailbiter,tt2122424,2013-05-28,82,0,0,A horror film that combines classic monster movie elements set within the backdrop of unpredictable Kansas weather. Start with a mother and her three daughters forced to take shelter from an advancing tornado in a local storm cellar. What is waiting for them underneath is another story entirely.,In the shadow of the storm it waits.,http://www.nailbitermovie.com/,/485U5q4dALhr9VhucJOYgTu8zOf.jpg,/1zfVloYLvEHiktKm9fd0Chuoalz.jpg
68,X-Men Origins: Wolverine,X-Men Origins: Wolverine,tt0458525,2009-04-28,107,150000000,373062864,"After seeking to live a normal life, Logan sets out to avenge the death of his girlfriend by undergoing the mutant Weapon X program and becoming Wolverine.",Witness the origin.,https://www.20thcenturystudios.com/movies/x-men-origins-wolverine,/yj8LbTju1p7CUJg7US2unSBk33s.jpg,/wvqdJLVh0mSblly7UnYFPEk04Wd.jpg
69,People Just Do Nothing: Big in Japan,People Just Do Nothing: Big in Japan,tt11376010,2021-08-13,97,0,0,"Since the end of their pirate radio station, life has been quiet for the Kurupt FM boys, but everything is about to change. News reaches them that one of their songs has been used on a popular game show in Japan. They've made it. Their music is reaching hundreds of thousands of people. It's finally time for them to enjoy the fame and fortune that they've always known they deserved. Chabuddy G steps excitedly back into his management role as Grindah, Beats, Steves and Decoy begin their journey to international stardom - but is Japan really ready for Kurupt FM?",Britain's finest exports,https://www.universalpictures.co.uk/micro/people-just-do-nothing,/d2wft3qQX1fCqPTUdujwxhj9S23.jpg,/iTozFZZOklA4tZbrl3rDftvFXmv.jpg
70,6 Festivals,6 Festivals,tt20102688,2022-08-11,98,0,0,"Over the course of the six music festivals, friends Maxie and Summer will learn to accept the impending loss of their friend James from brain cancer through Marley, an up-and-coming musician whose own rise to the main stage will provide a positive anchor for them to move forward with their lives.",Face the music,https://helium.limited/helium-pictures/six-festivals.php,/i1I43RmHqKWcMdS7xgKqjSusyiX.jpg,/qgSRdZoS6YtXVCesbploWeW18cf.jpg
71,Swallow,Swallow,tt8372298,2020-01-15,96,0,274674,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.",Open Up.,https://www.ifcfilms.com/films/swallow,/40Zrwud1EVxNvcjQkotZo7jmr4L.jpg,/ieFVFCLd1akOdYNx0MttGmgwCTT.jpg
72,Crazy Rich Asians,Crazy Rich Asians,tt3104988,2018-08-15,121,30000000,238539198,"An American-born Chinese economics professor accompanies her boyfriend to Singapore for his best friend's wedding, only to get thrust into the lives of Asia's rich and famous.",The only thing crazier than love is family,http://crazyrichasiansmovie.com,/1XxL4LJ5WHdrcYcihEZUCgNCpAW.jpg,/7tTCnQcKzUkabDV3BJMe7LIzlEs.jpg
73,Tell It to the Bees,Tell It to the Bees,tt7241926,2018-09-09,106,0,0,"Dr. Jean Markham returns to the town she left as a teenager to take over her late father's medical practice. When a school-yard scuffle lands Charlie in her surgery, she invites him to visit the hives in her garden and tell his secrets to the bees, as she once did. The new friendship between the boy and the bee keeper brings his mother Lydia into Jean's world.",Some secrets are too powerful to keep,http://gooddeedentertainment.com/tellittothebees,/Rj6zpHhMU1zFW3v28U4PSRSRgP.jpg,/Oeo4ZabmekrqCQyn34SI95692d.jpg
74,Unicorn Store,Unicorn Store,tt2338454,2017-09-11,92,0,0,"A woman named Kit moves back to her parent's house, where she receives a mysterious invitation that would fulfill her childhood dreams.",Everyone needs a little magic. Even if they're all grown up.,https://www.netflix.com/title/81034317,/rGe3eWy3F3qggDZMc86bASN4I7C.jpg,/1ltcMaCX5kPOEA4NFTSBnvBFNbY.jpg
75,Creed III,Creed III,tt11145118,2023-03-01,116,75000000,275248615,"After dominating the boxing world, Adonis Creed has thrived in his career and family life. When a childhood friend and former boxing prodigy, Damian Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian — a fighter with nothing to lose.",You can't run from your past.,https://www.mgmstudios.com/creed-iii,/cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,/8QsVX5C82mT7bB5sVsjsLcerWQK.jpg
76,Shana: The Wolf's Music,Shana: The Wolf's Music,tt2390792,2014-08-17,96,0,0,"The First Nations girl Shana is a very gifted musician. But to bring her violin to sing, she must follow the wolf. Nino Jacusso has filmed this captivating coming-of-age drama with sensational beauty and spiritual tenderness.","A First Nations girl, a wolf and a violin – and the magic of music.",http://www.shanafilm.com/En/film/film.html,/wlyKPrXFsZHmxRyjX0CLqrFYp0S.jpg,/puzVfjtTMH531PyNSaBbUr3BdPi.jpg
77,Kindling,Kindling,tt15184804,2023-04-21,93,0,0,A group of young men return to their home town in order to turn their friend's final days into a celebration of life and friendship.,A summer to be remembered.,https://lowkeyfilms.co.uk/film-and-tv/kindling,/fg8N3bN1dIGr23rfwbus4hlJ6qe.jpg,/53SCROCrvab3OHXYnRXTceM6tCK.jpg
78,Where the Road Runs Out,Where the Road Runs Out,tt2346198,2014-09-26,91,0,0,"George, a scientist living in Rotterdam is growing wary of the world of academia. The sudden death of an old friend is the incentive he needs to return to his African roots where he takes over a dilapidated field station in the jungle of Equatorial Guinea. There he meets an orphan boy with a sunny disposition who opens George's wary eyes to this colorful place. The boy plays matchmaker between George and the lady who runs the local orphanage and all seems rosy until an old friend of George's shows up out of nowhere to throw their lives into disarray as George discovers there are many obstacles on the road to redemption and a few more where the road runs out.",Sometimes you have to get lost to find yourself.,http://www.wheretheroadrunsout.com/,/5BC9qDdd6gm0V5m5zYW34DGdSX4.jpg,/ES1tavVbcM4ot8WruG8EpMmYRm.jpg
79,Harold & Kumar Escape from Guantanamo Bay,Harold & Kumar Escape from Guantanamo Bay,tt0481536,2008-04-25,101,12000000,43493123,"Having satisfied their urge for White Castle, Harold and Kumar jump on a plane to catch up with Harold's love interest, who's headed for the Netherlands. But the pair must change their plans when Kumar is accused of being a terrorist. Rob Corddry also stars in this wild comedy sequel that follows the hapless stoners' misadventures as they try to avoid being captured by the Department of Homeland Security.",This time they're running from the joint.,http://www.haroldandkumar.com,/pRo2wOKbJEfoLnTK1APcDtKfGzL.jpg,/7Q1SGTuIDkTnKRonEhmYUefQP79.jpg
80,Plus One,Plus One,tt7645122,2019-06-14,98,0,44112,Two single friends agree to be each others' respective plus one for each wedding they're invited to during a particularly busy nuptial period of their lives.,10 Weddings. 1 Summer. No One Can Survive Alone.,https://www.inwoodroadfilms.com/plus-one,/4w3bCp5UkLeemdq8MBNlyA3Zl2J.jpg,/9TL90eOg7KfaJOqYSgimZ6yXnRJ.jpg
81,Le Divorce,Le Divorce,tt0306734,2003-08-08,117,0,12991996,"While visiting her sister in Paris, a young woman finds romance and learns her brother-in-law is a philanderer.",Everything sounds sexier in French.,http://www.le-divorce.com/,/ucBJrWKCJ1naTylSFN8jpaEqwwe.jpg,/w2UHBWTJux7bWSi44mMS21tPhGT.jpg
82,"Life, Animated","Life, Animated",tt3917210,2016-07-01,91,0,0,"At three years old, a chatty, energetic little boy named Owen Suskind ceased to speak, disappearing into autism with apparently no way out. Almost four years passed and the only stimuli that engaged Owen were Disney films. Then one day, his father donned a puppet—Iago, the wisecracking parrot from Aladdin—and asked “what’s it like to be you?” And poof! Owen replied, with dialogue from the movie. Life, Animated tells the remarkable story of how Owen found in Disney animation a pathway to language and a framework for making sense of the world.","When he fell into silence, movies gave him back his voice",http://www.lifeanimateddoc.com/,/jpZUMTecRrgn1NybQfAsrO85wUN.jpg,/3eWyOWBd6Z9BbxZJ8ObY22jm7mS.jpg
83,Death Proof,Death Proof,tt1028528,2007-05-22,113,25000000,31126421,"Austin's hottest DJ, Jungle Julia, sets out into the night to unwind with her two friends Shanna and Arlene. Covertly tracking their moves is Stuntman Mike, a scarred rebel leering from behind the wheel of his muscle car, revving just feet away.",A crash course in revenge,http://www.deathproof.net/,/vtu6H4NWnQVqEp3aanUq3hNeeot.jpg,/c7k9ZZb1MoFzJeyjphKRMLHOgqU.jpg
84,Green Flake,Green Flake,tt9535160,2020-12-03,94,0,0,"Green Flake, a southern slave, joins Church of Jesus Christ of Latter Day Saints as a child. Later on in his life he is sent to pave the way to what is now the Salt Lake Valley and his faith sustains him.",A film about a Southern slave who trekked thousands of miles and rose to become a Western hero,https://www.greenflakemovie.com/,/3odIby95U8HqEnIHEdtKCxK1SPk.jpg,/22g9hiMYP4Ka6IPiJaChqzhkPdT.jpg
85,The Mist,The Mist,tt0884328,2007-11-21,126,18000000,57470220,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.","Belief divides them, mystery surrounds them, but fear changes everything.",http://www.themist-movie.com/,/1CvJ6diBACKPVGOpcWuY4XPQdqX.jpg,/3WrR2rYX7nHWnBhWHLZptsJ2bEj.jpg
86,A War Story,A War Story,tt8111958,2018-10-01,90,0,0,"In 1997, Osama bin Laden declared war on the USA and Pulitzer Prize winning CNN correspondent Peter Arnett embarked on a mission to locate and interview him. A War Story follows the dramatic events leading up to the interview and the Kiwi journalist's horror on 9/11, as he recalled bin Laden's veiled threats.",Arnett v bin Laden,https://www.tvnz.co.nz/shows/a-war-story,/2dSI07fGQ3ouhImx109XS99f1dz.jpg,/sX8fITcwsARXKVJSAXQb3TaxqJ5.jpg
87,Alien Convergence,Alien Convergence,tt6874406,2017-06-27,86,0,0,"When flying reptilian creatures wreak havoc all over the world, the survivors’ only hope of stopping them is a new, state-of-the-art fighter jet piloted by the only team that knows how to use the technology.",We have Visitors,http://newsite.theasylum.cc/index.php/titles/detail?id=334c3eec-9cbb-e411-bd0b-d4ae527c3b65,/96xgOCz2li0IiqKYcLQh5bK7CiU.jpg,/2eZUHO2gEktRTaWQuxXF3NtLWjH.jpg
88,The Sasquatch Gang,The Sasquatch Gang,tt0460925,2006-03-08,84,0,9458,"Young fantasy and science fiction aficionado Gavin Gore and his friends stumble onto some huge footprints in the woods. A local cop, reporter, and a renowned Sasquatch authority investigate, while two of Gavin's dim-witted neighbors hatch a scheme to profit from the situation.",An epic tale of nerds and turds.,http://www.thesasquatchgang.com/,/f7Vnrik2tsozzG1DRfgIBmJvUCx.jpg,/xTaj3tVozMfcCrrndYVPic91bWr.jpg
89,Hustle,Hustle,tt8009428,2022-06-03,118,0,0,"After discovering a once-in-a-lifetime player with a rocky past abroad, a down on his luck basketball scout takes it upon himself to bring the phenom to the States without his team's approval. Against the odds, they have one final shot to prove they have what it takes to make it in the NBA.",Are you obsessed with this game?,https://www.netflix.com/title/80242342/,/xWic7kPq13oRxYjbGLApXCnc7pz.jpg,/hGr0FrLI74vqpBWTBOPloDBwOAK.jpg
90,The Vancouver Asahi,バンクーバーの朝日,tt3550344,2014-09-29,132,0,0,"In pre-WWII Vancouver, second-generation Japanese immigrants had it tough. Daily, they faced discrimination, hatred and injustice at the hands of their Caucasian counterparts. But one thing made their lives worth living: baseball. They may be the underdogs, but the Vancouver Asahi baseball team have a sense of fair play and smart tactics that set them apart from the brute force of their opponents. Under the guidance of new team captain Reggie Kasahara, can they be able to rise above all the negativity to win the tournament?  This film is based on the true story of Vancouver Asahi, the Japanese-Canadian baseball team that was inducted into The Canadian Baseball Hall of Fame in 2003.",Winning is not about where you’re from—it’s about how well you play.,http://www.vancouver-asahi.jp/,/vWSxJGWVS8y2LxzuWwugef8mleK.jpg,/vdzFoZOGHREgeiVTcXmdnx39pQK.jpg
91,Voice of Freedom,Voice of Freedom,tt13445810,2021-02-15,120,0,0,"On Easter Sunday, 1939, contralto Marian Anderson stepped up to a microphone in front of the Lincoln Memorial. Inscribed on the walls of the monument behind her were the words “all men are created equal.” Barred from performing in Constitution Hall because of her race, Anderson would sing for the American people in the open air. Hailed as a voice that “comes around once in a hundred years” by maestros in Europe and widely celebrated by both white and black audiences at home, her fame hadn’t been enough to spare her from the indignities and outright violence of racism and segregation.",Turbulent Times Turned an Artist into a Hero,https://www.pbs.org/wgbh/americanexperience/films/voice-freedom/,/ipOwAxhVa9tLQaENS4ARmH8nKAF.jpg,/jw8rG7S1lsDtXaEiRCIopo6MGfh.jpg
92,Sam Smith: Love Goes – Live at Abbey Road Studios,Sam Smith: Love Goes – Live at Abbey Road Studios,tt13327240,2021-05-22,61,0,0,"Grammy-winning artist Sam Smith gives an intimate, soulful and chilling performance at the iconic Abbey Road Studios. This experience features songs from their third album and more.","Sit back, relax and enjoy Sam Smith.",https://samsmithworld.com/,/2MdUahtFN5461usx0EcGHrDJLx4.jpg,/5RmVCgwbloQCDQUrF9LgLq7rNg9.jpg
93,Returned,Returned,tt5167168,2015-10-09,90,7000,0,"Benjamin Lathan's flight disappeared, twelve years later he returns. With the help of a mysterious beauty, he finds himself on an unlikely journey.",200 Passengers disappeared; one Returned,https://www.creativegeniusfilms.com/,/s04PH9XOcinHQkCP0P0HuUsAzO0.jpg,/wGfOyUa9icQNQ2X1cVA0MC21i7s.jpg
94,Renfield,Renfield,tt11358390,2023-04-07,93,65000000,26348156,"Having grown sick and tired of his centuries as Dracula's lackey, Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty, perennially angry traffic cop Rebecca Quincy.",Sucks to be him.,https://www.renfieldmovie.com,/jG83l0tDwoQj3hBAioIsJ5rTPHw.jpg,/nBEFrdcVhwceGSFw83RksxY9Blg.jpg
95,Elliot: The Littlest Reindeer,Elliot: The Littlest Reindeer,tt4177856,2018-11-08,89,0,0,"When Blitzen announces his retirement on December 21st, a miniature horse has 3 days to fulfill his lifelong dream of earning a spot on Santa's team at the North Pole try-outs.",Big Dreamers Dream Big,https://thelittlestreindeer.com,/ufcYhMgXtdL3OQBdR3G3p23pBni.jpg,/ysCrwd7MuF52KLxxEt5wsPwAUzi.jpg
96,Assault on Precinct 13,Assault on Precinct 13,tt0074156,1976-11-05,91,150000,0,The lone inhabitants of an abandoned police station are under attack by the overwhelming numbers of a seemingly unstoppable street gang.,L.A.'s deadliest street gang just declared war on the cops.,http://www.theofficialjohncarpenter.com/assault-of-precinct-13/,/vAGq6oo8ycKciWksoPDq0Ak4jbj.jpg,/28lA2YGj74GU4CG4S5DoRmi9mNl.jpg
97,2:22,2:22,tt1261041,2008-09-24,104,0,0,"The plan was easy; the job was not. On a snowy night a tight crew of four criminals plan to pull off a routine heist. When things go horribly wrong, friendship, loyalty and trust are pushed to the limit.",The plan was simple... The events that followed were not,http://www.222themovie.com/cast2.htm,/w9Yd4lzYyFpzscvmFJKMPaUHPZq.jpg,/wEUPeCesbKZpWMuV0eBklOOXc5D.jpg
98,Salvation Boulevard,Salvation Boulevard,tt1251743,2011-07-15,96,5500000,89182,Set in the world of mega-churches in which a former Deadhead-turned-born again-Christian finds himself on the run from fundamentalist members of his mega-church who will do anything to protect their larger-than-life pastor.,Faith alone doesn’t cut it anymore,http://www.ifcfilms.com/uncategorized/salvation-boulevard,/q8kPPcpPUGhdAOP5LYHDMKZBXYP.jpg,/apMLieYY9z6tgBHLbCA7wsuar02.jpg
99,East Side Sushi,East Side Sushi,tt2340650,2014-03-08,100,0,0,"Years of working in the food industry have made Juana, a working-class Latina, a chef of speed and skill. Searching for financial stability, she stumbles into a high-energy, male-dominated Japanese cuisine kitchen. The new atmosphere re-ignites her passions for food and life and makes her hungry to get mixed up in the flavors of this new world.",The way to a woman’s heart is through...sushi!,http://www.eastsidesushifilm.com/,/hyDJxhPooTZQ3F889qxHyAUzBfO.jpg,/zHf4EEJHkCHTBvLDo0gaAXzA93x.jpg
100,Oklahoma City,Oklahoma City,tt6333090,2017-01-21,101,0,0,The bombing of the Alfred P. Murrah Federal Building in Oklahoma City in April 1995 is the worst act of domestic terrorism in American history. This documentary explores how a series of deadly encounters between American citizens and federal law enforcement—including the standoffs at Ruby Ridge and Waco—led to it.,A cautionary tale of hate in America,https://www.pbs.org/wgbh/americanexperience/films/oklahoma-city/,/tWzjeZjdoOVmcq7FBsRKRtFp183.jpg,/jRpNqr8Ntljfzpj5f1feMEmR96L.jpg
